дата,рік,місяць,країна,місто,система_DRS,рівень_збору_%,рік_запуску_системи,бренд,матеріал,кількість_пляшок,депозит_EUR,метод_виплати
2021-01-04,2021,1,Швеція,Гетеборг,Returpack,88,1984,Coca-Cola Sweden,PET,19,2.69,Благодійність
2021-01-04,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,8,0.93,Додаток
2021-01-04,2021,1,Данія,Оденсе,Dansk Retursystem,89,2002,Faxe,ALU,7,0.98,Додаток
2021-01-05,2021,1,Фінляндія,Турку,Palpa,94,1996,Pirkka,ALU,21,2.56,Благодійність
2021-01-05,2021,1,Швеція,Гетеборг,Returpack,88,1984,Loka,PET,15,3.57,Додаток
2021-01-05,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,19,4.35,Ваучер
2021-01-05,2021,1,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Sourcy,PET,7,1.05,Готівка
2021-01-06,2021,1,Литва,Каунас,USAD,92,2016,Utenos,PET,1,0.19,Благодійність
2021-01-06,2021,1,Хорватія,Загреб,HAOP,90,2006,Jamnica,PET,16,3.72,Благодійність
2021-01-06,2021,1,Швеція,Стокгольм,Returpack,88,1984,Nygårda,PET,12,1.41,Додаток
2021-01-06,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Tuborg,ALU,3,0.52,Готівка
2021-01-06,2021,1,Данія,Орхус,Dansk Retursystem,89,2002,Carlsberg,ALU,15,2.8,Ваучер
2021-01-06,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Cido,PET,19,3.86,Благодійність
2021-01-06,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,17,1.84,Благодійність
2021-01-07,2021,1,Норвегія,Ставангер,Infinitum,97,1999,Farris,PET,9,2.2,Благодійність
2021-01-07,2021,1,Німеччина,Берлін,DPG/Pfand,98,2003,Fanta,ALU,7,0.72,Благодійність
2021-01-07,2021,1,Фінляндія,Тампере,Palpa,94,1996,Coca-Cola Finland,PET,16,2.57,Благодійність
2021-01-07,2021,1,Швеція,Мальме,Returpack,88,1984,Coca-Cola Sweden,PET,21,3.41,Благодійність
2021-01-07,2021,1,Швеція,Стокгольм,Returpack,88,1984,Loka,ALU,16,3.8,Благодійність
2021-01-07,2021,1,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Spa,PET,13,2.29,Благодійність
2021-01-08,2021,1,Данія,Копенгаген,Dansk Retursystem,89,2002,Faxe,PET,18,4.01,Додаток
2021-01-09,2021,1,Німеччина,Гамбург,DPG/Pfand,98,2003,Volvic,PET,5,1.05,Готівка
2021-01-09,2021,1,Хорватія,Загреб,HAOP,90,2006,Karlovačko,PET,7,1.53,Готівка
2021-01-09,2021,1,Фінляндія,Оулу,Palpa,94,1996,Fazer,PET,16,2.47,Благодійність
2021-01-09,2021,1,Швеція,Гетеборг,Returpack,88,1984,Loka,ALU,11,1.11,Готівка
2021-01-10,2021,1,Німеччина,Гамбург,DPG/Pfand,98,2003,Fanta,PET,4,0.61,Благодійність
2021-01-10,2021,1,Хорватія,Рієка,HAOP,90,2006,Karlovačko,PET,14,2.03,Додаток
2021-01-10,2021,1,Фінляндія,Оулу,Palpa,94,1996,Coca-Cola Finland,PET,4,0.46,Готівка
2021-01-10,2021,1,Фінляндія,Турку,Palpa,94,1996,Fazer,PET,15,1.86,Готівка
2021-01-10,2021,1,Швеція,Мальме,Returpack,88,1984,Ramlösa,PET,18,3.71,Благодійність
2021-01-10,2021,1,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Aldaris,PET,1,0.13,Благодійність
2021-01-11,2021,1,Фінляндія,Оулу,Palpa,94,1996,Pirkka,PET,7,1.1,Благодійність
2021-01-11,2021,1,Фінляндія,Гельсінкі,Palpa,94,1996,Hartwall,ALU,21,4.58,Ваучер
2021-01-11,2021,1,Фінляндія,Гельсінкі,Palpa,94,1996,Pirkka,ALU,14,2.72,Готівка
2021-01-11,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,4,0.81,Готівка
2021-01-11,2021,1,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Cido,PET,12,2.29,Благодійність
2021-01-11,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Heineken,ALU,7,1.66,Готівка
2021-01-11,2021,1,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Coca-Cola NL,ALU,21,2.58,Благодійність
2021-01-12,2021,1,Німеччина,Франкфурт,DPG/Pfand,98,2003,Fanta,PET,16,2.12,Готівка
2021-01-12,2021,1,Естонія,Тарту,Eesti Pandipakend,93,2005,A. Le Coq,PET,16,3.16,Готівка
2021-01-12,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,15,2.57,Додаток
2021-01-12,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,ALU,16,1.83,Ваучер
2021-01-12,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,9,1.85,Готівка
2021-01-13,2021,1,Норвегія,Берген,Infinitum,97,1999,Coca-Cola Norway,PET,18,4.31,Ваучер
2021-01-13,2021,1,Норвегія,Осло,Infinitum,97,1999,Ringnes,PET,14,3.18,Готівка
2021-01-13,2021,1,Норвегія,Тромсе,Infinitum,97,1999,Solo,PET,21,4.02,Готівка
2021-01-13,2021,1,Литва,Клайпеда,USAD,92,2016,Rasa,ALU,10,1.73,Додаток
2021-01-13,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Cido,PET,11,2.53,Благодійність
2021-01-14,2021,1,Швеція,Гетеборг,Returpack,88,1984,Ramlösa,PET,21,5.13,Додаток
2021-01-14,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Carlsberg,ALU,17,3.21,Готівка
2021-01-14,2021,1,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,4,0.85,Додаток
2021-01-15,2021,1,Норвегія,Осло,Infinitum,97,1999,Imsdal,PET,13,3.18,Додаток
2021-01-15,2021,1,Фінляндія,Гельсінкі,Palpa,94,1996,Fazer,PET,2,0.38,Додаток
2021-01-15,2021,1,Швеція,Уппсала,Returpack,88,1984,Coca-Cola Sweden,PET,13,2.85,Додаток
2021-01-15,2021,1,Швеція,Стокгольм,Returpack,88,1984,Nygårda,PET,15,3.01,Ваучер
2021-01-15,2021,1,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Aldaris,PET,17,2.06,Додаток
2021-01-15,2021,1,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Tērvetes,ALU,18,2.33,Благодійність
2021-01-16,2021,1,Німеччина,Мюнхен,DPG/Pfand,98,2003,Paulaner,PET,3,0.33,Додаток
2021-01-16,2021,1,Естонія,Пярну,Eesti Pandipakend,93,2005,Värska,ALU,16,2.92,Готівка
2021-01-16,2021,1,Естонія,Нарва,Eesti Pandipakend,93,2005,A. Le Coq,PET,11,1.69,Ваучер
2021-01-16,2021,1,Фінляндія,Оулу,Palpa,94,1996,Olvi,PET,16,3.53,Готівка
2021-01-16,2021,1,Швеція,Гетеборг,Returpack,88,1984,Coca-Cola Sweden,PET,15,3.21,Готівка
2021-01-17,2021,1,Німеччина,Штутгарт,DPG/Pfand,98,2003,Beck's,ALU,17,4.09,Готівка
2021-01-17,2021,1,Хорватія,Осієк,HAOP,90,2006,Jamnica,PET,9,1.2,Ваучер
2021-01-17,2021,1,Данія,Орхус,Dansk Retursystem,89,2002,Faxe,PET,15,3.71,Готівка
2021-01-18,2021,1,Норвегія,Тромсе,Infinitum,97,1999,Imsdal,ALU,3,0.34,Додаток
2021-01-18,2021,1,Естонія,Тарту,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,9,2.09,Благодійність
2021-01-18,2021,1,Хорватія,Рієка,HAOP,90,2006,Coca-Cola Croatia,PET,11,1.32,Додаток
2021-01-18,2021,1,Хорватія,Загреб,HAOP,90,2006,Coca-Cola Croatia,PET,1,0.24,Ваучер
2021-01-18,2021,1,Швеція,Гетеборг,Returpack,88,1984,Coca-Cola Sweden,ALU,1,0.23,Готівка
2021-01-18,2021,1,Швеція,Мальме,Returpack,88,1984,Loka,ALU,15,2.95,Додаток
2021-01-18,2021,1,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Heineken,PET,14,2.24,Додаток
2021-01-19,2021,1,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,ALU,14,3.32,Готівка
2021-01-19,2021,1,Хорватія,Спліт,HAOP,90,2006,Jamnica,ALU,13,2.93,Додаток
2021-01-19,2021,1,Хорватія,Спліт,HAOP,90,2006,Ozujsko,PET,14,2.37,Додаток
2021-01-19,2021,1,Хорватія,Осієк,HAOP,90,2006,Ozujsko,ALU,19,3.39,Готівка
2021-01-19,2021,1,Фінляндія,Оулу,Palpa,94,1996,Fazer,PET,16,2.72,Готівка
2021-01-19,2021,1,Фінляндія,Оулу,Palpa,94,1996,Coca-Cola Finland,PET,11,2.08,Благодійність
2021-01-19,2021,1,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Coca-Cola NL,PET,11,1.76,Благодійність
2021-01-20,2021,1,Норвегія,Осло,Infinitum,97,1999,Solo,PET,8,1.67,Додаток
2021-01-20,2021,1,Естонія,Пярну,Eesti Pandipakend,93,2005,Põltsamaa Felix,ALU,5,0.54,Благодійність
2021-01-20,2021,1,Хорватія,Осієк,HAOP,90,2006,Karlovačko,PET,16,2.39,Благодійність
2021-01-20,2021,1,Фінляндія,Оулу,Palpa,94,1996,Coca-Cola Finland,ALU,11,2.59,Додаток
2021-01-20,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Spa,ALU,9,1.75,Ваучер
2021-01-20,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,14,3.09,Благодійність
2021-01-20,2021,1,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Heineken,ALU,20,4.14,Ваучер
2021-01-21,2021,1,Німеччина,Мюнхен,DPG/Pfand,98,2003,Paulaner,PET,11,1.96,Ваучер
2021-01-21,2021,1,Литва,Каунас,USAD,92,2016,Akvilė,ALU,1,0.22,Додаток
2021-01-21,2021,1,Литва,Клайпеда,USAD,92,2016,Kauno Grūdai,PET,9,1.25,Додаток
2021-01-21,2021,1,Хорватія,Спліт,HAOP,90,2006,Coca-Cola Croatia,PET,7,1.21,Ваучер
2021-01-21,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Faxe,PET,14,2.67,Ваучер
2021-01-21,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,2,0.22,Додаток
2021-01-22,2021,1,Німеччина,Гамбург,DPG/Pfand,98,2003,Fanta,ALU,9,2.24,Благодійність
2021-01-22,2021,1,Німеччина,Штутгарт,DPG/Pfand,98,2003,Sprite,ALU,9,1.27,Готівка
2021-01-22,2021,1,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,20,4.17,Додаток
2021-01-22,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Aldaris,ALU,6,1.12,Додаток
2021-01-22,2021,1,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Spa,PET,1,0.13,Ваучер
2021-01-23,2021,1,Норвегія,Ставангер,Infinitum,97,1999,Solo,PET,21,3.29,Додаток
2021-01-23,2021,1,Норвегія,Осло,Infinitum,97,1999,Imsdal,PET,14,3.46,Ваучер
2021-01-23,2021,1,Хорватія,Спліт,HAOP,90,2006,Karlovačko,ALU,19,3.78,Ваучер
2021-01-23,2021,1,Хорватія,Загреб,HAOP,90,2006,Jamnica,ALU,4,0.49,Готівка
2021-01-23,2021,1,Данія,Орхус,Dansk Retursystem,89,2002,Faxe,PET,11,1.65,Ваучер
2021-01-24,2021,1,Норвегія,Осло,Infinitum,97,1999,Imsdal,PET,2,0.23,Ваучер
2021-01-24,2021,1,Німеччина,Берлін,DPG/Pfand,98,2003,Coca-Cola,ALU,7,1.54,Благодійність
2021-01-24,2021,1,Німеччина,Франкфурт,DPG/Pfand,98,2003,Sprite,ALU,2,0.36,Готівка
2021-01-24,2021,1,Естонія,Таллінн,Eesti Pandipakend,93,2005,Põltsamaa Felix,ALU,7,0.71,Ваучер
2021-01-24,2021,1,Литва,Каунас,USAD,92,2016,Kauno Grūdai,PET,18,3.74,Благодійність
2021-01-24,2021,1,Литва,Вільнюс,USAD,92,2016,Kauno Grūdai,PET,15,2.83,Ваучер
2021-01-24,2021,1,Швеція,Гетеборг,Returpack,88,1984,Pepsi Sweden,ALU,2,0.29,Благодійність
2021-01-24,2021,1,Швеція,Мальме,Returpack,88,1984,Coca-Cola Sweden,PET,14,2.42,Готівка
2021-01-24,2021,1,Данія,Копенгаген,Dansk Retursystem,89,2002,Royal Unibrew,PET,7,0.71,Додаток
2021-01-24,2021,1,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Aldaris,PET,2,0.34,Додаток
2021-01-25,2021,1,Естонія,Пярну,Eesti Pandipakend,93,2005,Värska,ALU,9,2.21,Благодійність
2021-01-25,2021,1,Фінляндія,Турку,Palpa,94,1996,Fazer,ALU,14,3.37,Ваучер
2021-01-25,2021,1,Швеція,Мальме,Returpack,88,1984,Nygårda,PET,4,0.89,Благодійність
2021-01-25,2021,1,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Cido,PET,7,1.42,Благодійність
2021-01-26,2021,1,Норвегія,Тромсе,Infinitum,97,1999,Hansa,PET,21,4.47,Ваучер
2021-01-26,2021,1,Німеччина,Гамбург,DPG/Pfand,98,2003,Beck's,ALU,9,1.24,Ваучер
2021-01-26,2021,1,Естонія,Тарту,Eesti Pandipakend,93,2005,Aura,ALU,9,1.44,Ваучер
2021-01-27,2021,1,Норвегія,Берген,Infinitum,97,1999,Imsdal,ALU,3,0.72,Благодійність
2021-01-27,2021,1,Німеччина,Кельн,DPG/Pfand,98,2003,Paulaner,PET,11,2.14,Благодійність
2021-01-27,2021,1,Німеччина,Гамбург,DPG/Pfand,98,2003,Beck's,ALU,14,2.67,Готівка
2021-01-27,2021,1,Хорватія,Загреб,HAOP,90,2006,Ozujsko,PET,10,1.93,Додаток
2021-01-27,2021,1,Фінляндія,Турку,Palpa,94,1996,Hartwall,PET,14,3.18,Благодійність
2021-01-28,2021,1,Норвегія,Берген,Infinitum,97,1999,Solo,PET,14,2.99,Благодійність
2021-01-28,2021,1,Німеччина,Берлін,DPG/Pfand,98,2003,Beck's,PET,18,2.01,Благодійність
2021-01-28,2021,1,Хорватія,Осієк,HAOP,90,2006,Jamnica,PET,9,1.79,Додаток
2021-01-28,2021,1,Хорватія,Рієка,HAOP,90,2006,Karlovačko,PET,9,1.24,Благодійність
2021-01-28,2021,1,Хорватія,Загреб,HAOP,90,2006,Karlovačko,PET,10,1.73,Готівка
2021-01-28,2021,1,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,15,1.51,Благодійність
2021-01-28,2021,1,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Cido,PET,18,4.46,Готівка
2021-01-29,2021,1,Норвегія,Тронгейм,Infinitum,97,1999,Imsdal,PET,9,1.1,Благодійність
2021-01-29,2021,1,Німеччина,Мюнхен,DPG/Pfand,98,2003,Fanta,PET,18,4.27,Додаток
2021-01-29,2021,1,Німеччина,Штутгарт,DPG/Pfand,98,2003,Gerolsteiner,ALU,4,0.45,Благодійність
2021-01-29,2021,1,Хорватія,Рієка,HAOP,90,2006,Karlovačko,PET,9,2.16,Готівка
2021-01-29,2021,1,Швеція,Мальме,Returpack,88,1984,Pepsi Sweden,ALU,9,0.99,Готівка
2021-01-29,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Coca-Cola NL,ALU,5,0.68,Ваучер
2021-01-30,2021,1,Норвегія,Тромсе,Infinitum,97,1999,Hansa,PET,2,0.38,Ваучер
2021-01-30,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,13,1.32,Благодійність
2021-01-30,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Aldaris,PET,7,0.75,Додаток
2021-01-31,2021,1,Німеччина,Кельн,DPG/Pfand,98,2003,Paulaner,ALU,11,1.13,Благодійність
2021-01-31,2021,1,Естонія,Пярну,Eesti Pandipakend,93,2005,Aura,PET,14,2.9,Благодійність
2021-01-31,2021,1,Данія,Оденсе,Dansk Retursystem,89,2002,Faxe,ALU,4,0.91,Ваучер
2021-01-31,2021,1,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Mangaļi,ALU,18,3.78,Готівка
2021-02-01,2021,2,Норвегія,Ставангер,Infinitum,97,1999,Coca-Cola Norway,PET,18,4.13,Ваучер
2021-02-01,2021,2,Норвегія,Ставангер,Infinitum,97,1999,Imsdal,PET,2,0.48,Благодійність
2021-02-01,2021,2,Німеччина,Франкфурт,DPG/Pfand,98,2003,Volvic,PET,16,1.8,Ваучер
2021-02-01,2021,2,Естонія,Таллінн,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,3,0.49,Ваучер
2021-02-01,2021,2,Хорватія,Рієка,HAOP,90,2006,Ozujsko,PET,12,2.91,Ваучер
2021-02-01,2021,2,Швеція,Мальме,Returpack,88,1984,Loka,ALU,13,2.84,Готівка
2021-02-01,2021,2,Данія,Оденсе,Dansk Retursystem,89,2002,Coca-Cola Denmark,PET,4,0.43,Готівка
2021-02-02,2021,2,Німеччина,Штутгарт,DPG/Pfand,98,2003,Paulaner,PET,7,0.91,Ваучер
2021-02-02,2021,2,Литва,Шяуляй,USAD,92,2016,Rasa,PET,1,0.22,Готівка
2021-02-02,2021,2,Литва,Шяуляй,USAD,92,2016,Švyturys,ALU,15,2.62,Ваучер
2021-02-02,2021,2,Фінляндія,Турку,Palpa,94,1996,Coca-Cola Finland,PET,14,1.88,Ваучер
2021-02-02,2021,2,Данія,Орхус,Dansk Retursystem,89,2002,Coca-Cola Denmark,ALU,1,0.16,Благодійність
2021-02-02,2021,2,Данія,Копенгаген,Dansk Retursystem,89,2002,Faxe,ALU,20,2.35,Ваучер
2021-02-03,2021,2,Хорватія,Спліт,HAOP,90,2006,Karlovačko,PET,7,1.73,Ваучер
2021-02-03,2021,2,Фінляндія,Оулу,Palpa,94,1996,Hartwall,PET,9,1.76,Додаток
2021-02-03,2021,2,Фінляндія,Турку,Palpa,94,1996,Olvi,PET,4,0.76,Благодійність
2021-02-03,2021,2,Швеція,Уппсала,Returpack,88,1984,Loka,PET,14,1.89,Готівка
2021-02-03,2021,2,Швеція,Гетеборг,Returpack,88,1984,Loka,PET,6,1.44,Ваучер
2021-02-04,2021,2,Норвегія,Осло,Infinitum,97,1999,Imsdal,PET,11,1.49,Благодійність
2021-02-04,2021,2,Норвегія,Осло,Infinitum,97,1999,Hansa,PET,9,1.03,Додаток
2021-02-04,2021,2,Німеччина,Штутгарт,DPG/Pfand,98,2003,Coca-Cola,PET,4,0.7,Додаток
2021-02-04,2021,2,Хорватія,Рієка,HAOP,90,2006,Karlovačko,ALU,12,1.78,Готівка
2021-02-04,2021,2,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,ALU,5,1.04,Благодійність
2021-02-04,2021,2,Данія,Ольборг,Dansk Retursystem,89,2002,Coca-Cola Denmark,ALU,21,5.1,Готівка
2021-02-04,2021,2,Данія,Копенгаген,Dansk Retursystem,89,2002,Tuborg,PET,16,2.27,Готівка
2021-02-04,2021,2,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Cido,ALU,4,0.54,Готівка
2021-02-04,2021,2,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Aldaris,ALU,9,2.08,Готівка
2021-02-04,2021,2,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Spa,ALU,4,0.52,Готівка
2021-02-04,2021,2,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Coca-Cola NL,PET,8,1.55,Ваучер
2021-02-05,2021,2,Норвегія,Тромсе,Infinitum,97,1999,Ringnes,PET,15,2.57,Ваучер
2021-02-05,2021,2,Норвегія,Берген,Infinitum,97,1999,Imsdal,PET,4,0.66,Додаток
2021-02-05,2021,2,Норвегія,Тронгейм,Infinitum,97,1999,Farris,PET,21,4.58,Додаток
2021-02-05,2021,2,Норвегія,Берген,Infinitum,97,1999,Coca-Cola Norway,ALU,1,0.11,Ваучер
2021-02-05,2021,2,Німеччина,Франкфурт,DPG/Pfand,98,2003,Gerolsteiner,PET,9,1.14,Ваучер
2021-02-05,2021,2,Данія,Оденсе,Dansk Retursystem,89,2002,Coca-Cola Denmark,PET,7,1.62,Благодійність
2021-02-06,2021,2,Норвегія,Ставангер,Infinitum,97,1999,Coca-Cola Norway,PET,9,0.93,Готівка
2021-02-06,2021,2,Хорватія,Рієка,HAOP,90,2006,Ozujsko,PET,15,3.58,Готівка
2021-02-06,2021,2,Хорватія,Рієка,HAOP,90,2006,Ozujsko,PET,20,3.49,Готівка
2021-02-06,2021,2,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,1,0.15,Додаток
2021-02-07,2021,2,Норвегія,Тромсе,Infinitum,97,1999,Ringnes,ALU,6,0.72,Додаток
2021-02-07,2021,2,Норвегія,Осло,Infinitum,97,1999,Imsdal,ALU,3,0.33,Додаток
2021-02-07,2021,2,Німеччина,Берлін,DPG/Pfand,98,2003,Fanta,PET,9,1.86,Ваучер
2021-02-07,2021,2,Естонія,Таллінн,Eesti Pandipakend,93,2005,Aura,PET,1,0.14,Готівка
2021-02-07,2021,2,Фінляндія,Гельсінкі,Palpa,94,1996,Pirkka,PET,1,0.15,Ваучер
2021-02-07,2021,2,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Aldaris,PET,14,2.34,Благодійність
2021-02-08,2021,2,Німеччина,Штутгарт,DPG/Pfand,98,2003,Beck's,PET,11,2.42,Ваучер
2021-02-08,2021,2,Литва,Каунас,USAD,92,2016,Kauno Grūdai,PET,8,1.06,Додаток
2021-02-08,2021,2,Швеція,Гетеборг,Returpack,88,1984,Ramlösa,PET,7,1.03,Готівка
2021-02-09,2021,2,Естонія,Нарва,Eesti Pandipakend,93,2005,A. Le Coq,ALU,15,3.53,Ваучер
2021-02-09,2021,2,Хорватія,Загреб,HAOP,90,2006,Jana,PET,2,0.41,Благодійність
2021-02-09,2021,2,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,PET,9,1.51,Додаток
2021-02-09,2021,2,Данія,Копенгаген,Dansk Retursystem,89,2002,Tuborg,PET,3,0.64,Благодійність
2021-02-09,2021,2,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Grolsch,PET,4,0.43,Додаток
2021-02-10,2021,2,Естонія,Пярну,Eesti Pandipakend,93,2005,Värska,ALU,10,1.13,Благодійність
2021-02-10,2021,2,Литва,Каунас,USAD,92,2016,Akvilė,PET,7,1.03,Додаток
2021-02-10,2021,2,Хорватія,Осієк,HAOP,90,2006,Jana,ALU,19,3.62,Додаток
2021-02-10,2021,2,Швеція,Мальме,Returpack,88,1984,Loka,PET,2,0.28,Додаток
2021-02-11,2021,2,Естонія,Пярну,Eesti Pandipakend,93,2005,A. Le Coq,PET,18,2.87,Благодійність
2021-02-11,2021,2,Литва,Каунас,USAD,92,2016,Utenos,PET,17,2.7,Благодійність
2021-02-11,2021,2,Хорватія,Загреб,HAOP,90,2006,Jamnica,PET,21,2.38,Додаток
2021-02-11,2021,2,Фінляндія,Оулу,Palpa,94,1996,Coca-Cola Finland,PET,14,3.41,Готівка
2021-02-12,2021,2,Фінляндія,Турку,Palpa,94,1996,Pirkka,PET,19,2.08,Благодійність
2021-02-13,2021,2,Німеччина,Штутгарт,DPG/Pfand,98,2003,Pepsi,ALU,11,1.38,Благодійність
2021-02-13,2021,2,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,PET,17,3.2,Готівка
2021-02-13,2021,2,Литва,Каунас,USAD,92,2016,Kauno Grūdai,ALU,11,2.53,Ваучер
2021-02-13,2021,2,Фінляндія,Турку,Palpa,94,1996,Fazer,PET,17,2.12,Готівка
2021-02-13,2021,2,Швеція,Мальме,Returpack,88,1984,Coca-Cola Sweden,ALU,1,0.17,Готівка
2021-02-13,2021,2,Данія,Копенгаген,Dansk Retursystem,89,2002,Tuborg,PET,8,1.96,Ваучер
2021-02-13,2021,2,Данія,Орхус,Dansk Retursystem,89,2002,Coca-Cola Denmark,PET,21,3.64,Ваучер
2021-02-13,2021,2,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Heineken,ALU,16,3.29,Благодійність
2021-02-14,2021,2,Німеччина,Штутгарт,DPG/Pfand,98,2003,Sprite,ALU,8,1.65,Додаток
2021-02-14,2021,2,Естонія,Пярну,Eesti Pandipakend,93,2005,Aura,PET,12,1.79,Додаток
2021-02-14,2021,2,Литва,Вільнюс,USAD,92,2016,Utenos,PET,18,2.48,Готівка
2021-02-14,2021,2,Литва,Клайпеда,USAD,92,2016,Kauno Grūdai,PET,15,2.39,Ваучер
2021-02-14,2021,2,Фінляндія,Турку,Palpa,94,1996,Coca-Cola Finland,PET,11,1.8,Готівка
2021-02-14,2021,2,Данія,Копенгаген,Dansk Retursystem,89,2002,Faxe,ALU,16,3.04,Готівка
2021-02-14,2021,2,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,ALU,4,0.66,Готівка
